Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4",18650-holder,4,4V2 - 18650,
"C1, C2, C3",0603,3,100n,C49678
"C5, C6",1210,2,22u / 16V,C337451
"C7, C8",1210,2,10u,C337451
"CD1, CD2",0603,2,100n,
D1,D_SMA,1,SS12,C2985002
"F1, F2, F3, F4",696108003002,4,2A,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,USBasp,
J2,OLED,1,OLED,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,UART,
L1,1206,1,10u,C279941
L2,Inductor_4mm(5x5mm pads),1,4R7,
LS1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"Q1, Q2, Q3, Q4",TO-220-3_Horizontal_TabDown,4,IRLZ44N,
R10,0603,1,13k3,C185373
"R11, R12, R17, R18",PRW0AWJW33JB00,4,"3R3, 10W",
"R13, R14, R19, R20, R7, R8",0603,6,100,
"R15, R16, R21, R22",0603,4,10k,
R4,0603,1,10k,C17414
R9,0603,1,100k,
"SW1, SW2",Omron_B3F-12x12mm,2,SW_Push,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6,1,MT3608,C2932326
Y1,CSTCE16M0V53-R0,1,16MHz,C32180
