Designator,Mid X,Mid Y,Rotation,Layer
BT1,71.75,-68.0,180.0,top
BT2,117.75,-68.0,180.0,top
BT3,94.75,-68.0,180.0,top
BT4,140.75,-68.0,180.0,top
C1,114.0,-158.5,270.0,top
C2,96.5,-151.75,180.0,top
C3,98.25,-157.75,270.0,top
C5,63.75,-140.0,0.0,top
C6,64.25,-157.0,180.0,top
C7,81.75,-156.0,180.0,top
C8,81.75,-140.25,180.0,top
CD1,125.5,-169.5,0.0,top
CD2,87.0,-169.25,180.0,top
D1,69.75,-151.0,90.0,top
F1,65.85,-122.25,180.0,top
F2,111.85,-122.25,180.0,top
F3,88.85,-122.25,180.0,top
F4,134.85,-122.5,180.0,top
J1,147.9975,-144.92,0.0,top
J2,102.5,-145.5,90.0,top
J3,145.875,-162.975,0.0,top
L1,96.5,-154.75,0.0,top
L2,64.0,-150.5,0.0,top
LS1,132.479216,-144.75,0.0,top
Q1,79.79,-109.75,180.0,top
Q2,125.79,-109.77,180.0,top
Q3,102.79,-109.77,180.0,top
Q4,148.79,-109.77,180.0,top
R10,70.75,-138.5,0.0,top
R11,78.55,-68.0,0.0,bottom
R12,124.55,-68.0,0.0,bottom
R13,78.25,-132.5,90.0,top
R14,124.25,-132.5,90.0,top
R15,76.25,-132.5,270.0,top
R16,122.25,-132.5,270.0,top
R17,101.55,-68.0,0.0,bottom
R18,147.55,-68.0,0.0,bottom
R19,101.25,-132.5,90.0,top
R20,147.25,-132.5,90.0,top
R21,99.25,-132.5,270.0,top
R22,145.25,-132.5,270.0,top
R4,103.5,-165.75,180.0,top
R7,125.5,-167.0,180.0,top
R8,87.0,-167.0,0.0,top
R9,70.75,-141.0,180.0,top
SW1,129.5,-167.0,0.0,top
SW2,70.5,-167.0,0.0,top
U1,106.25,-157.75,180.0,top
U2,81.75,-148.0,90.0,top
U3,63.75,-144.5,180.0,top
Y1,116.25,-155.35,270.0,top
